sofascore_team_name,league_name,tm_club_name,match_score,match_method,sofascore_team_id,tm_club_id
FK Čukarički,Mozzart Bet Superliga,FK Cukaricki,99,normalized,5148,6621
FK Železničar Pančevo,Mozzart Bet Superliga,FK Zeleznicar Pancevo,99,normalized,282203,59358
Fagiano Okayama,J1 League,Fagiano Okayama,100,exact,34034,22171
Famalicão,Liga Portugal,FC Famalicão,99,normalized,49531,3329
Fatih Karagümrük,Turkish Süper Lig,Fatih Karagümrük,100,exact,4954,6646
Fenerbahçe,Turkish Süper Lig,Fenerbahce,99,normalized,3052,36
Ferroviária,Brasileirao Serie B,Ferroviária,100,exact,35285,15882
Feyenoord,Eredivisie,Feyenoord,100,exact,2959,234
Fortuna Düsseldorf,2. Bundesliga,Fortuna Düsseldorf,100,exact,2588,38
Fortuna Sittard,Eredivisie,Fortuna Sittard,100,exact,2957,385
Fredrikstad FK,Norwegian Eliteserien,Fredrikstad FK,100,exact,687,3837
Frosinone,Serie B,Frosinone Calcio,90.0,fuzzy_auto,2801,8970
GAIS,Allsvenskan,GAIS,100,exact,1786,7009
Galatasaray,Turkish Süper Lig,Galatasaray,100,exact,3061,141
Gamba Osaka,J1 League,Gamba Osaka,100,exact,3138,596
Gangwon FC,Korean K League 1,Gangwon FC,100,exact,34220,21459
Gaziantep FK,Turkish Süper Lig,Gaziantep FK,100,exact,5138,2832
Gençlerbirliği,Turkish Süper Lig,Genclerbirligi Ankara,90.0,fuzzy_auto,7802,820
Gil Vicente,Liga Portugal,Gil Vicente FC,99,normalized,3010,2424
Gimcheon Sangmu FC,Korean K League 1,Gimcheon Sangmu,99,normalized,7647,6505
Gimnàstic de Tarragona,1RFEF,Gimnàstic de Tarragona,100,exact,2840,5648
Go Ahead Eagles,Eredivisie,Go Ahead Eagles Deventer,90.0,fuzzy_auto,2979,1435
Goiás,Brasileirao Serie B,Goiás EC,90.0,fuzzy_auto,1960,3197
Granada,LaLiga2,Granada CF,99,normalized,33779,16795
Grazer AK 1902,Austrian Bundesliga,Grazer AK 1902,100,exact,2052,316
Grenoble Foot 38,Ligue 2,Grenoble Foot 38,100,exact,1671,1290
Grêmio Novorizontino,Brasileirao Serie B,Grêmio Novorizontino,100,exact,135514,37474
Guadalajara,1RFEF,CD Guadalajara,99,normalized,24330,16576
Guingamp,Ligue 2,EA Guingamp,95.0,fuzzy_auto,1654,855
Gwangju FC,Korean K League 1,Gwangju FC,100,exact,48912,30925
Göztepe,Turkish Süper Lig,Göztepe,100,exact,3054,1467
Halmstads BK,Allsvenskan,Halmstads BK,100,exact,1767,1011
Hamburger SV,Bundesliga,Hamburgo SV,100,manual_confirm,2676,41
Hammarby IF,Allsvenskan,Hammarby IF,100,exact,1758,1059
Hannover 96,2. Bundesliga,Hannover 96,100,exact,2541,42
Helmond Sport,Eerste Divisie,Helmond Sport,100,exact,2974,500
Heracles Almelo,Eredivisie,Heracles Almelo,100,exact,2977,1304
Huesca,LaLiga2,SD Huesca,99,normalized,24265,5358
Hércules CF,1RFEF,Hércules CF,100,exact,2877,7971
IF Brommapojkarna,Allsvenskan,IF Brommapojkarna,100,exact,1787,1092
IF Elfsborg,Allsvenskan,IF Elfsborg,100,exact,1762,1101
IFK Göteborg,Allsvenskan,IFK Göteborg,100,exact,1761,801
IK Sirius,Allsvenskan,IK Sirius,100,exact,1793,7945
Incheon United,Korean K League 1,Incheon United,100,exact,7648,2996
Jeju SK,Korean K League 1,Jeju SK,100,exact,7649,19684
Jeonbuk Hyundai Motors,Korean K League 1,Jeonbuk Hyundai Motors,100,exact,6908,6502
Jong AZ Alkmaar,Eerste Divisie,AZ Alkmaar U21,90.0,fuzzy_auto,46161,11368
Jong Ajax,Eerste Divisie,Ajax Amsterdam U21,100,manual_confirm,46160,8817
Jong FC Utrecht,Eerste Divisie,FC Utrecht U21,90.0,fuzzy_auto,53067,17596
Jong PSV Eindhoven,Eerste Divisie,PSV Eindhoven U21,95.0,fuzzy_auto,46168,9715
Juve Stabia,Serie B,SS Juve Stabia,95.0,fuzzy_auto,5324,5587
Juventud Torremolinos CF,1RFEF,Juventud Torremolinos CF,100,exact,263407,43454
KAA Gent,Belgian Pro League,KAA Gante,100,manual_confirm,2903,157
KFUM Oslo,Norwegian Eliteserien,KFUM-Kameratene Oslo,100,manual_confirm,786,23184
KRC Genk,Belgian Pro League,KRC Genk,100,exact,2890,1184
KV Mechelen,Belgian Pro League,KV Mechelen,100,exact,5044,354
KVC Westerlo,Belgian Pro League,KVC Westerlo,100,exact,2893,968
Karlsruher SC,2. Bundesliga,Karlsruher SC,100,exact,2553,48
Kashima Antlers,J1 League,Kashima Antlers,100,exact,3134,2241
Kashiwa Reysol,J1 League,Kashiwa Reysol,100,exact,3140,6632
Kasımpaşa,Turkish Süper Lig,Kasimpasa,100,manual_confirm,6063,10484
Kawasaki Frontale,J1 League,Kawasaki Frontale,100,exact,5127,9598
Kayserispor,Turkish Süper Lig,Kayserispor,100,exact,3072,3205
Kocaelispor,Turkish Süper Lig,Kocaelispor,100,exact,3065,120
Konyaspor,Turkish Süper Lig,Konyaspor,100,exact,3085,2293
Kristiansund BK,Norwegian Eliteserien,Kristiansund BK,100,exact,957,21101
